dataset,test_set,language_pair,metric,total_saved_annotations,mean_saved_annotations,num_valid_saving_pairs,num_retained_pair_metric_rows,num_original_pair_metric_rows,num_excluded_human_unreachable_pairs,ppsr,ppsr_num_pairs,num_retained_pairs,saving_rank,ppsr_rank
wmt22 zh-en,wmt22,zh-en,metricx_xl_MQM_2020-refA:seg,1131.0,14.881578947368421,76,76,91,15,0.09684921980783039,76,76,2.0,2.0
wmt22 zh-en,wmt22,zh-en,metricx_xxl_DA_2019-refA:seg,911.0,11.986842105263158,76,76,91,15,0.06717186925990574,76,76,7.0,8.0
wmt22 zh-en,wmt22,zh-en,metricx_xxl_MQM_2020-refA:seg,1106.0,14.552631578947368,76,76,91,15,0.09188136245588512,76,76,3.0,3.0
wmt23 en-zh,wmt23,en-zh,BERTscore-refA:seg,292.0,3.395348837209302,86,86,105,19,0.13274036678465576,86,86,14.0,15.0
wmt23 en-zh,wmt23,en-zh,BLEU-refA:seg,75.0,0.872093023255814,86,86,105,19,0.002967416703373772,86,86,33.0,33.0
wmt23 en-zh,wmt23,en-zh,BLEURT-20-refA:seg,399.0,4.6395348837209305,86,86,105,19,0.16337744399219575,86,86,6.0,8.0
wmt23 en-zh,wmt23,en-zh,COMET-refA:seg,388.0,4.511627906976744,86,86,105,19,0.17456625247933336,86,86,7.0,5.0
wmt23 en-zh,wmt23,en-zh,CometKiwi-XL-src:seg,582.0,6.767441860465116,86,86,105,19,0.18458152311092682,86,86,1.0,3.0
wmt23 en-zh,wmt23,en-zh,CometKiwi-XXL-src:seg,515.0,5.988372093023256,86,86,105,19,0.16826777840060056,86,86,4.0,7.0
wmt23 en-zh,wmt23,en-zh,CometKiwi-src:seg,520.0,6.046511627906977,86,86,105,19,0.2155999742957045,86,86,3.0,1.0
wmt23 en-zh,wmt23,en-zh,GEMBA-MQM-src:seg,327.0,3.802325581395349,86,86,105,19,0.10345718934859165,86,86,11.0,17.0
wmt23 en-zh,wmt23,en-zh,KG-BERTScore-src:seg,524.0,6.093023255813954,86,86,105,19,0.21558169729420282,86,86,2.0,2.0
wmt23 en-zh,wmt23,en-zh,MS-COMET-QE-22-src:seg,381.0,4.430232558139535,86,86,105,19,0.18241681973373772,86,86,8.0,4.0
wmt23 en-zh,wmt23,en-zh,MetricX-23-QE-b-src:seg,189.0,2.197674418604651,86,86,105,19,0.08842073641137434,86,86,26.0,20.0
wmt23 en-zh,wmt23,en-zh,MetricX-23-QE-c-src:seg,319.0,3.7093023255813953,86,86,105,19,0.08602605133135373,86,86,12.0,21.0
wmt23 en-zh,wmt23,en-zh,MetricX-23-QE-src:seg,166.0,1.930232558139535,86,86,105,19,0.07599559928782076,86,86,29.0,23.0
wmt23 en-zh,wmt23,en-zh,MetricX-23-b-refA:seg,242.0,2.813953488372093,86,86,105,19,0.07480753793215282,86,86,19.0,24.0
wmt23 en-zh,wmt23,en-zh,MetricX-23-c-refA:seg,187.0,2.1744186046511627,86,86,105,19,0.1346846151264322,86,86,27.0,14.0
