dataset,test_set,language_pair,pair_index,system_a,system_b,metric,annotations_saved,corr_sq,human_threshold_status
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,YiSi-1-refA:seg,-1.0,0.0335724487706342,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,chrF-refA:seg,3.0,0.026782039518004647,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,f101spBLEU-refA:seg,3.0,0.01628796481954483,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,f200spBLEU-refA:seg,1.0,0.020489605763309816,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,metricx_xl_DA_2019-refA:seg,12.0,0.12755617805342934,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,metricx_xl_MQM_2020-refA:seg,6.0,0.13688670382358906,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,metricx_xxl_DA_2019-refA:seg,6.0,0.11993143156140477,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,metricx_xxl_MQM_2020-refA:seg,5.0,0.1358905888542074,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,BERTScore-refA:seg,4.0,0.034999051456507606,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,BLEU-refA:seg,1.0,0.01480804262295205,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,BLEURT-20-refA:seg,11.0,0.12025944309872548,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,COMET-20-refA:seg,6.0,0.07604264480313865,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,COMET-22-refA:seg,11.0,0.10382044664575546,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,COMET-QE-src:seg,1.0,0.026189825517496917,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,COMETKiwi-src:seg,1.0,0.051435718317162725,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,Cross-QE-src:seg,-2.0,0.04064287872864195,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,HWTSC-TLM-src:seg,-3.0,0.007112266558634053,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,HWTSC-Teacher-Sim-src:seg,0.0,0.014027950802739305,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,KG-BERTScore-src:seg,3.0,0.011114688076104901,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,MATESE-QE-src:seg,-3.0,0.014763209265013323,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,MATESE-refA:seg,-2.0,0.02834849034140726,brentq
wmt22 en-de,wmt22,en-de,5,Online-W,Online-A,MEE-refA:seg,4.0,0.021323396704242915,brentq
